name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;517;0;609;3055;1034;3055;1034;0
header;193;105;193;137;1820;137;1820;105
D;790;168;790;183;813;183;813;168
A;986;169;986;197;1008;197;1008;169
D;967;498;967;514;975;514;975;498
B;997;840;997;868;1017;868;1017;840
A;892;1225;892;1241;900;1241;900;1225
C;993;1512;993;1541;1013;1541;1013;1512
B;630;1634;630;1652;644;1652;644;1634
B;803;2198;803;2213;824;2213;824;2198
A;778;2219;778;2221;780;2221;780;2219
D;995;2294;995;2321;1017;2321;1017;2294
