name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;545;0;659;3057;1492;3057;1400;0
header;35;97;35;135;1598;135;1598;97
A;780;164;780;190;799;190;799;164
B;1300;351;1300;369;1314;369;1314;351
A;908;443;908;458;916;458;916;443
B;810;532;810;550;823;550;823;532
B;1375;581;1375;596;1384;596;1384;581
B;773;838;773;864;793;864;793;838
B;746;1135;746;1150;754;1150;754;1135
A;969;1221;969;1247;983;1247;983;1221
A;918;1368;918;1383;926;1383;926;1368
C;771;1519;771;1546;791;1546;791;1519
A;1437;1914;1437;1914;1437;1914;1437;1914
A;1024;2142;1024;2143;1024;2143;1024;2142
D;770;2196;770;2223;791;2223;791;2196
A;907;2338;907;2354;915;2354;915;2338
B;1355;2699;1355;2725;1385;2725;1385;2699
A;1320;2893;1320;2893;1321;2893;1321;2893
